"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"181","z0195648","z0195648b.GTseq.prod","z0195648.RunMS51",0,0,NA
"182","z0195648","z0195648b.GTseq.prod","z0195648.RunMS54",0,0,NA
"183","z0195648","z0195648b.GTseq.prod","z0195648.RunMS58",0,0,NA
"184","z0195648","z0195648.RunMS51","z0195648.RunMS54",6,0,0
"185","z0195648","z0195648.RunMS51","z0195648.RunMS58",6,0,0
"186","z0195648","z0195648.RunMS54","z0195648.RunMS58",90,1,0.0111111111111111
"187","z0195644","z0195644.GTseq.prod","z0195644b.GTseq.prod",0,0,NA
"188","z0195644","z0195644.GTseq.prod","z0195644.RunMS51",108,1,0.00925925925925926
"189","z0195644","z0195644.GTseq.prod","z0195644.RunMS54",108,1,0.00925925925925926
"190","z0195644","z0195644b.GTseq.prod","z0195644.RunMS51",0,0,NA
"191","z0195644","z0195644b.GTseq.prod","z0195644.RunMS54",0,0,NA
"192","z0195644","z0195644.RunMS51","z0195644.RunMS54",283,1,0.00353356890459364
"193","z0043642","z0043642b.GTseq.prod","z0043642.GTseq.prod",0,0,NA
"194","z0043642","z0043642b.GTseq.prod","z0043642.RunMS54",252,3,0.0119047619047619
"195","z0043642","z0043642.GTseq.prod","z0043642.RunMS54",0,0,NA
